PassengerId,Survived
1,0
5,0
6,0
7,0
8,0
13,0
14,0
17,0
18,1
21,0
22,1
24,1
27,0
28,0
30,0
31,0
34,0
35,0
36,0
37,1
38,0
43,0
46,0
47,0
49,0
51,0
52,0
55,0
56,1
58,0
60,0
61,0
63,0
64,0
65,0
66,1
68,0
70,0
71,0
73,0
74,0
75,1
76,0
77,0
78,0
79,1
81,0
82,1
84,0
87,0
88,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,1
100,0
102,0
103,0
104,0
105,0
106,0
108,1
109,0
111,0
113,0
116,0
117,0
118,0
119,0
121,0
122,0
123,0
125,0
126,1
127,0
128,1
130,0
131,0
132,0
135,0
136,0
138,0
139,0
140,0
144,0
145,0
146,0
147,1
149,0
150,0
151,0
153,0
154,0
155,0
156,0
158,0
159,0
160,0
161,0
163,0
164,0
165,0
166,1
169,0
170,0
171,0
172,0
174,0
175,0
176,0
177,0
179,0
180,0
182,0
183,0
184,1
186,0
188,1
189,0
190,0
192,0
194,1
197,0
198,0
201,0
202,0
203,0
204,0
205,1
207,0
208,1
210,1
211,0
213,0
214,0
215,0
218,0
220,0
221,1
222,0
223,0
224,0
225,1
226,0
227,1
228,0
229,0
232,0
233,0
235,0
237,0
239,0
240,0
243,0
244,0
245,0
246,0
249,1
250,0
251,0
253,0
254,0
261,0
262,1
263,0
264,0
266,0
267,0
268,1
271,0
272,1
274,0
278,0
279,0
281,0
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,1
293,0
295,0
296,0
297,0
299,1
302,1
303,0
305,0
306,1
309,0
314,0
315,0
318,0
321,0
322,0
325,0
327,0
332,0
333,0
334,0
336,0
337,0
339,1
340,0
341,1
343,0
344,0
345,0
349,1
350,0
351,0
352,0
353,0
354,0
355,0
356,0
361,0
362,0
364,0
365,0
366,0
371,1
372,0
373,0
374,0
378,0
379,0
380,0
383,0
385,0
386,0
387,0
389,0
391,1
392,1
393,0
396,0
398,0
399,0
401,1
402,0
404,0
406,0
407,0
408,1
409,0
411,0
412,0
414,0
415,1
419,0
421,0
422,0
423,0
425,0
426,0
429,0
430,1
431,1
434,0
435,0
439,0
440,0
442,0
443,0
445,1
446,1
448,1
450,1
451,0
452,0
453,0
454,1
455,0
456,1
457,0
460,0
461,1
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
471,0
472,0
476,0
477,0
478,0
479,0
481,0
482,0
483,0
485,1
488,0
489,0
490,1
491,0
492,0
493,0
494,0
495,0
496,0
498,0
500,0
501,0
506,0
508,1
509,0
510,1
511,1
512,0
513,1
515,0
516,0
518,0
520,0
522,0
523,0
525,0
526,0
528,0
529,0
530,0
532,0
533,0
537,0
539,0
544,1
545,0
546,0
548,1
549,0
550,1
551,1
552,0
553,0
554,1
556,0
558,0
561,0
562,0
563,0
564,0
566,0
567,0
569,0
570,1
571,1
573,1
575,0
576,0
580,1
583,0
584,0
585,0
587,0
588,1
589,0
590,0
591,0
593,0
595,0
596,0
598,0
599,0
600,1
602,0
603,0
604,0
605,1
606,0
607,0
608,1
612,0
614,0
615,0
617,0
620,0
621,0
622,1
623,1
624,0
625,0
626,0
627,0
629,0
630,0
631,1
632,0
633,1
634,0
637,0
638,0
640,0
641,0
644,1
646,1
647,0
648,1
649,0
651,0
653,0
656,0
657,0
659,0
660,0
661,1
662,0
663,0
664,0
665,1
666,0
667,0
668,0
669,0
672,0
673,0
674,1
675,0
676,0
677,0
680,1
682,1
683,0
684,0
685,0
686,0
687,0
688,0
689,0
691,1
693,1
694,0
695,0
696,0
697,0
699,0
700,0
702,1
704,0
705,0
706,0
708,1
710,1
712,0
713,1
714,0
715,0
716,0
719,0
720,0
722,0
723,0
724,0
725,1
726,0
729,0
732,0
733,0
734,0
735,0
736,0
738,1
739,0
740,0
741,1
742,0
744,0
745,1
746,0
747,0
749,0
750,0
752,1
753,0
754,0
756,1
757,0
758,0
759,0
761,0
762,0
763,1
765,0
767,0
769,0
770,0
771,0
772,0
774,0
776,0
777,0
779,0
783,0
784,0
785,0
786,0
788,0
789,1
790,0
791,0
792,0
794,0
795,0
796,0
799,0
801,0
803,1
804,1
805,1
806,0
807,0
809,0
811,0
812,0
813,0
815,0
816,0
818,0
819,0
820,0
822,1
823,0
825,0
826,0
827,0
828,1
829,1
832,1
833,0
834,0
835,0
837,0
838,0
839,1
840,1
841,0
842,0
844,0
845,0
846,0
847,0
848,0
849,0
851,0
852,0
858,1
860,0
861,0
862,0
865,0
868,0
869,0
870,1
871,0
873,0
874,0
877,0
878,0
879,0
882,0
884,0
885,0
887,0
890,1
891,0
